[2019-12-17 06:38:22] info | Hello
[2019-12-17 06:52:20] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:52:37] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:52:52] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:53:05] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:54:48] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:55:01] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:55:09] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:56:14] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:56:38] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:57:30] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:57:51] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:58:18] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 06:58:23] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:01:54] notice | Code: 8 | Message: Undefined variable: a | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:10:12] warning | Code: 2 | Message: set_exception_handler() expects the argument (core\ErrorHandler::exceptionHandler) to be a valid callback | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 21
[2019-12-17 07:11:23] warning | Code: 2 | Message: set_exception_handler() expects the argument (core\ErrorHandler::exceptionHandler) to be a valid callback | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 21
[2019-12-17 07:11:23] warning | Code: 2 | Message: str_replace() expects at least 3 parameters, 2 given | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 47
[2019-12-17 07:11:49] warning | Code: 2 | Message: set_exception_handler() expects the argument (core\ErrorHandler::exceptionHandler) to be a valid callback | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 21
[2019-12-17 07:11:49] warning | Code: 2 | Message: preg_replace() expects at least 3 parameters, 2 given | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 47
[2019-12-17 07:12:06] warning | Code: 2 | Message: set_exception_handler() expects the argument (core\ErrorHandler::exceptionHandler) to be a valid callback | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 21
[2019-12-17 07:12:19] warning | Code: 2 | Message: set_exception_handler() expects the argument (core\ErrorHandler::exceptionHandler) to be a valid callback | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 21
[2019-12-17 07:14:53] warning | Code: 2 | Message: set_exception_handler() expects the argument (core\ErrorHandler::exceptionHandler) to be a valid callback | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 21
[2019-12-17 07:15:00] warning | Code: 2 | Message: set_exception_handler() expects the argument (core\ErrorHandler::exceptionHandler) to be a valid callback | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 21
[2019-12-17 07:20:34] emergency | Code: 404 | Message: hello | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:21:06] emergency | Code: 404 | Message: hello | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:21:06] notice | Code: 8 | Message: Array to string conversion | File: /home/vagrant/code/shop-core/public/error/debug.php | Line: 16
[2019-12-17 07:21:30] emergency | Code: 404 | Message: hello | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:22:12] emergency | Code: 404 | Message: hello | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:22:18] emergency | Code: 404 | Message: hello | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:23:16] emergency | Code: 404 | Message: hello | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 07:23:52] emergency | Code: exception | Message: hello | File: /home/vagrant/code/shop-core/public/index.php | Line: 7
[2019-12-17 08:04:59] emergency | Code: exception | Message: Session is already started | File: /home/vagrant/code/shop-core/core/Session.php | Line: 89
[2019-12-17 08:49:26] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 32
[2019-12-17 08:50:04] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 32
[2019-12-17 17:56:40] emergency | Code: exception | Message: Controller app\controllers\PageNewController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 37
[2019-12-17 17:56:54] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 37
[2019-12-17 17:57:14] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 37
[2019-12-17 17:59:42] critical | Code: 1 | Message: Uncaught TypeError: Argument 1 passed to core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /home/vagrant/code/shop-core/core/ErrorHandler.php:55Stack trace:#0 [internal function]: core\ErrorHandler->exceptionHandler()#1 {main}  thrown | File: /home/vagrant/code/shop-core/core/ErrorHandler.php | Line: 55
[2019-12-17 18:00:09] emergency | Code: exception | Message: Class 'app\controllers\MainController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 33
[2019-12-17 18:07:02] emergency | Code: exception | Message: Class 'app\controllers\MainController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 33
[2019-12-17 18:07:23] emergency | Code: exception | Message: Class 'app\controllers\MainController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 33
[2019-12-17 18:11:35] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 18:11:46] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 18:12:41] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 18:14:33] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 18:15:20] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 18:15:35] emergency | Code: exception | Message: Class 'app\controllers\MainController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 33
[2019-12-17 18:15:41] emergency | Code: exception | Message: Controller app\controllers\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 18:15:48] emergency | Code: exception | Message: Class 'app\controllers\MainController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 33
[2019-12-17 18:16:07] emergency | Code: exception | Message: Class 'app\controllers\PageController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 33
[2019-12-17 18:16:23] emergency | Code: exception | Message: Class 'app\controllers\PageController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 34
[2019-12-17 18:16:31] emergency | Code: exception | Message: Class 'app\controllers\PageController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 34
[2019-12-17 18:16:39] emergency | Code: exception | Message: Class 'app\controllers\PageController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 34
[2019-12-17 18:16:43] emergency | Code: exception | Message: Class 'app\controllers\PageController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 35
[2019-12-17 18:16:48] emergency | Code: exception | Message: Class 'app\controllers\PageController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 35
[2019-12-17 18:16:53] emergency | Code: exception | Message: Class 'app\controllers\PageController' not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 35
[2019-12-17 18:17:07] emergency | Code: exception | Message: Controller app\controllers\PageController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 43
[2019-12-17 18:17:22] emergency | Code: exception | Message: Controller app\controllers\PageController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 42
